Scattered-Aos-desktop,Pooled-Aos-desktop,Scattered-Mixed-desktop,Pooled-Mixed-desktop,Scattered-Soa-desktop,Pooled-Soa-desktop,Scattered-Aos-laptop,Pooled-Aos-laptop,Scattered-Mixed-laptop,Pooled-Mixed-laptop,Scattered-Soa-laptop,Pooled-Soa-laptop,Scattered-Aos-graphic,Pooled-Aos-graphic,Scattered-Mixed-graphic,Pooled-Mixed-graphic,Scattered-Soa-graphic,Pooled-Soa-graphic,Scattered-Aos-ray,Pooled-Aos-ray,Scattered-Mixed-ray,Pooled-Mixed-ray,Scattered-Soa-ray,Pooled-Soa-ray,Scattered-Aos-voxel,Pooled-Aos-voxel,Scattered-Mixed-voxel,Pooled-Mixed-voxel,Scattered-Soa-voxel,Pooled-Soa-voxel
1.46618e+08,1.42023e+08,1.13501e+08,1.08129e+08,1.5708e+08,1.42979e+08,1.70052e+08,1.65427e+08,1.35606e+08,1.32465e+08,1.70195e+08,1.61268e+08,1.65882e+08,1.63582e+08,1.2882e+08,1.27398e+08,1.56434e+08,1.56554e+08,1.2333e+08,1.21683e+08,9.48424e+07,9.34315e+07,1.12883e+08,1.12158e+08,1.52965e+08,1.49931e+08,1.19361e+08,1.17084e+08,1.47974e+08,1.48805e+08
1.46537e+08,1.42097e+08,1.13696e+08,1.08109e+08,1.57198e+08,1.43076e+08,1.69573e+08,1.65108e+08,1.35615e+08,1.3244e+08,1.69428e+08,1.60551e+08,1.66057e+08,1.63519e+08,1.29078e+08,1.28134e+08,1.56268e+08,1.5553e+08,1.23631e+08,1.22309e+08,9.50841e+07,9.3292e+07,1.12875e+08,1.12329e+08,1.51582e+08,1.49926e+08,1.1943e+08,1.17103e+08,1.46445e+08,1.48291e+08
1.46363e+08,1.41879e+08,1.13676e+08,1.0811e+08,1.57138e+08,1.43381e+08,1.69619e+08,1.65025e+08,1.35514e+08,1.32411e+08,1.70563e+08,1.62253e+08,1.65971e+08,1.64382e+08,1.28993e+08,1.27416e+08,1.55757e+08,1.55642e+08,1.23514e+08,1.21725e+08,9.50009e+07,9.32853e+07,1.13147e+08,1.12076e+08,1.51863e+08,1.49485e+08,1.19461e+08,1.17008e+08,1.46713e+08,1.48957e+08
1.4643e+08,1.41996e+08,1.13526e+08,1.07999e+08,1.57005e+08,1.4309e+08,1.69532e+08,1.65223e+08,1.34233e+08,1.3146e+08,1.69179e+08,1.62123e+08,1.66207e+08,1.63736e+08,1.2897e+08,1.27174e+08,1.56784e+08,1.55457e+08,1.24105e+08,1.22428e+08,9.48944e+07,9.36913e+07,1.12847e+08,1.12064e+08,1.51465e+08,1.49604e+08,1.19478e+08,1.16907e+08,1.46768e+08,1.51652e+08
1.46401e+08,1.41944e+08,1.13682e+08,1.0814e+08,1.57078e+08,1.43039e+08,1.68607e+08,1.65057e+08,1.35394e+08,1.31099e+08,1.74193e+08,1.6162e+08,1.67218e+08,1.63605e+08,1.29022e+08,1.27458e+08,1.5601e+08,1.55774e+08,1.23347e+08,1.22828e+08,9.55848e+07,9.44913e+07,1.1283e+08,1.12108e+08,1.5091e+08,1.49723e+08,1.19455e+08,1.17098e+08,1.46738e+08,1.50957e+08
1.4633e+08,1.41922e+08,1.13444e+08,1.08289e+08,1.57026e+08,1.43e+08,1.69695e+08,1.65178e+08,1.34222e+08,1.32411e+08,1.69906e+08,1.61859e+08,1.6614e+08,1.64858e+08,1.28965e+08,1.27503e+08,1.56107e+08,1.56711e+08,1.23195e+08,1.21738e+08,9.53211e+07,9.34907e+07,1.12721e+08,1.11991e+08,1.5001e+08,1.49728e+08,1.19819e+08,1.16824e+08,1.46861e+08,1.48294e+08
1.46459e+08,1.42018e+08,1.13469e+08,1.08089e+08,1.56932e+08,1.43101e+08,1.69527e+08,1.65151e+08,1.34131e+08,1.32027e+08,1.70881e+08,1.62221e+08,1.66138e+08,1.64014e+08,1.29387e+08,1.27464e+08,1.56085e+08,1.56733e+08,1.23414e+08,1.21846e+08,9.53651e+07,9.34428e+07,1.12894e+08,1.12795e+08,1.50036e+08,1.49263e+08,1.19989e+08,1.16807e+08,1.46897e+08,1.48626e+08
1.46085e+08,1.42117e+08,1.1359e+08,1.08164e+08,1.51156e+08,1.43276e+08,1.69405e+08,1.6564e+08,1.35453e+08,1.31119e+08,1.64208e+08,1.62026e+08,1.66339e+08,1.63771e+08,1.28725e+08,1.28013e+08,1.56217e+08,1.55628e+08,1.23247e+08,1.22138e+08,9.48426e+07,9.34772e+07,1.12746e+08,1.12207e+08,1.50057e+08,1.49358e+08,1.20179e+08,1.17432e+08,1.46753e+08,1.48105e+08
1.45932e+08,1.42115e+08,1.13513e+08,1.08229e+08,1.51225e+08,1.43126e+08,1.68048e+08,1.65171e+08,1.3408e+08,1.32358e+08,1.65684e+08,1.62183e+08,1.66232e+08,1.63817e+08,1.2907e+08,1.27493e+08,1.56295e+08,1.5599e+08,1.23376e+08,1.21728e+08,9.56453e+07,9.33599e+07,1.12768e+08,1.12503e+08,1.49994e+08,1.49407e+08,1.19603e+08,1.16844e+08,1.46887e+08,1.5617e+08
1.46021e+08,1.42039e+08,1.13465e+08,1.08323e+08,1.57451e+08,1.43074e+08,1.69388e+08,1.66655e+08,1.35629e+08,1.3231e+08,1.70709e+08,1.61136e+08,1.65948e+08,1.6376e+08,1.29115e+08,1.27406e+08,1.55985e+08,1.55691e+08,1.2331e+08,1.2204e+08,9.49573e+07,9.35997e+07,1.12776e+08,1.12077e+08,1.50115e+08,1.50288e+08,1.19793e+08,1.16968e+08,1.46821e+08,1.57473e+08
1.46088e+08,1.41992e+08,1.13479e+08,1.08413e+08,1.57291e+08,1.43254e+08,1.69617e+08,1.66586e+08,1.35143e+08,1.31121e+08,1.70561e+08,1.61256e+08,1.66075e+08,1.63976e+08,1.28913e+08,1.27527e+08,1.56261e+08,1.55754e+08,1.23632e+08,1.21707e+08,9.56946e+07,9.3363e+07,1.12773e+08,1.121e+08,1.50136e+08,1.49698e+08,1.19686e+08,1.17139e+08,1.47149e+08,1.48275e+08
1.45971e+08,1.42073e+08,1.1358e+08,1.08252e+08,1.57219e+08,1.43264e+08,1.68053e+08,1.66675e+08,1.34341e+08,1.32213e+08,1.70249e+08,1.6054e+08,1.65781e+08,1.63971e+08,1.28945e+08,1.27648e+08,1.56993e+08,1.56189e+08,1.23461e+08,1.21983e+08,9.4969e+07,9.34821e+07,1.13164e+08,1.12151e+08,1.49975e+08,1.49932e+08,1.19942e+08,1.16876e+08,1.46807e+08,1.48764e+08
1.46199e+08,1.4199e+08,1.13485e+08,1.0818e+08,1.57129e+08,1.43205e+08,1.68967e+08,1.66885e+08,1.353e+08,1.32305e+08,1.69138e+08,1.61528e+08,1.7566e+08,1.64697e+08,1.29083e+08,1.27426e+08,1.55856e+08,1.56253e+08,1.23376e+08,1.22235e+08,9.56776e+07,9.33774e+07,1.13098e+08,1.12193e+08,1.50083e+08,1.50628e+08,1.19018e+08,1.17016e+08,1.46895e+08,1.51153e+08
1.46043e+08,1.42003e+08,1.13579e+08,1.08095e+08,1.57184e+08,1.43271e+08,1.69502e+08,1.66742e+08,1.35589e+08,1.31286e+08,1.70842e+08,1.61841e+08,1.65869e+08,1.63711e+08,1.29044e+08,1.27437e+08,1.55921e+08,1.55524e+08,1.23915e+08,1.2165e+08,9.59367e+07,9.36638e+07,1.12763e+08,1.12454e+08,1.50115e+08,1.4977e+08,1.19435e+08,1.16672e+08,1.46662e+08,1.51605e+08
1.46019e+08,1.41955e+08,1.13683e+08,1.08263e+08,1.57218e+08,1.43143e+08,1.69333e+08,1.6662e+08,1.34207e+08,1.31177e+08,1.70673e+08,1.64374e+08,1.74421e+08,1.64353e+08,1.28807e+08,1.27311e+08,1.56166e+08,1.56043e+08,1.23645e+08,1.22092e+08,9.6727e+07,9.34259e+07,1.12778e+08,1.13089e+08,1.49971e+08,1.4951e+08,1.19507e+08,1.1696e+08,1.46666e+08,1.52145e+08
1.45897e+08,1.42065e+08,1.18829e+08,1.08241e+08,1.56656e+08,1.4314e+08,1.67931e+08,1.66646e+08,1.39428e+08,1.31405e+08,1.68983e+08,1.60688e+08,1.66085e+08,1.63883e+08,1.28759e+08,1.27297e+08,1.56433e+08,1.55898e+08,1.23415e+08,1.22379e+08,9.48845e+07,9.33806e+07,1.12741e+08,1.12126e+08,1.49878e+08,1.49471e+08,1.19575e+08,1.16946e+08,1.46612e+08,1.49183e+08
1.45999e+08,1.42074e+08,1.13489e+08,1.08417e+08,1.56972e+08,1.43195e+08,1.69129e+08,1.65261e+08,1.3424e+08,1.32052e+08,1.69903e+08,1.61909e+08,1.66202e+08,1.63291e+08,1.28946e+08,1.27324e+08,1.56501e+08,1.56276e+08,1.23338e+08,1.21857e+08,9.50005e+07,9.33548e+07,1.12984e+08,1.12296e+08,1.50025e+08,1.49476e+08,1.19425e+08,1.16829e+08,1.46755e+08,1.51384e+08
1.45905e+08,1.42028e+08,1.13555e+08,1.08469e+08,1.57511e+08,1.43186e+08,1.69867e+08,1.65246e+08,1.34493e+08,1.32424e+08,1.73205e+08,1.61709e+08,1.6637e+08,1.63908e+08,1.29043e+08,1.27456e+08,1.55854e+08,1.55541e+08,1.23337e+08,1.21823e+08,9.57608e+07,9.33662e+07,1.13103e+08,1.12053e+08,1.49995e+08,1.49556e+08,1.19785e+08,1.16886e+08,1.46607e+08,1.49978e+08
1.45895e+08,1.42128e+08,1.13434e+08,1.08076e+08,1.57556e+08,1.43123e+08,1.69227e+08,1.66394e+08,1.35687e+08,1.32475e+08,1.70877e+08,1.60493e+08,1.65746e+08,1.63902e+08,1.34081e+08,1.27384e+08,1.56069e+08,1.55954e+08,1.23774e+08,1.21854e+08,9.55656e+07,9.35818e+07,1.1268e+08,1.11997e+08,1.50064e+08,1.49582e+08,1.19605e+08,1.16849e+08,1.4662e+08,1.51112e+08
1.45934e+08,1.42034e+08,1.13346e+08,1.08012e+08,1.57354e+08,1.43062e+08,1.69268e+08,1.66643e+08,1.34145e+08,1.32679e+08,1.72086e+08,1.61998e+08,1.66335e+08,1.63483e+08,1.28834e+08,1.27268e+08,1.56242e+08,1.56517e+08,1.23283e+08,1.22199e+08,9.49659e+07,9.37451e+07,1.12834e+08,1.14768e+08,1.50381e+08,1.49948e+08,1.19493e+08,1.16914e+08,1.48834e+08,1.49218e+08
