desktop-aos,desktop-mixed,laptop-aos,laptop-mixed,graphic-aos,graphic-mixed,ray-aos,ray-mixed,voxel-aos,voxel-mixed
4.61426e+08,4.18754e+08,8.81493e+08,6.09328e+08,6.01605e+08,4.30767e+08,3.2887e+08,2.59561e+08,5.42007e+08,3.77339e+08
3.20495e+08,2.98622e+08,5.49388e+08,3.90337e+08,4.29329e+08,3.07845e+08,2.29403e+08,1.8479e+08,3.85627e+08,2.58459e+08
3.54033e+08,3.28117e+08,6.14184e+08,4.33041e+08,4.73217e+08,3.37707e+08,2.52346e+08,2.03318e+08,4.24016e+08,2.95027e+08
4.87788e+08,4.41553e+08,9.58303e+08,6.40203e+08,6.3997e+08,4.52781e+08,3.46971e+08,2.73523e+08,5.72464e+08,3.86211e+08
3.40547e+08,3.16584e+08,5.85574e+08,4.17019e+08,4.55481e+08,3.25867e+08,2.43516e+08,1.95995e+08,4.08411e+08,2.85169e+08
3.50427e+08,3.25574e+08,6.13634e+08,4.31531e+08,4.67975e+08,3.36469e+08,2.50376e+08,2.02063e+08,4.20349e+08,2.87346e+08
4.01373e+08,3.68583e+08,7.17293e+08,5.05803e+08,5.29547e+08,3.80099e+08,2.85788e+08,2.29331e+08,4.77166e+08,3.24416e+08
3.99051e+08,3.67366e+08,7.28741e+08,4.98097e+08,5.2851e+08,3.79001e+08,2.84499e+08,2.2732e+08,4.77517e+08,3.21698e+08
4.35908e+08,3.98657e+08,8.13685e+08,5.56832e+08,5.7303e+08,4.09395e+08,3.11811e+08,2.46773e+08,5.15878e+08,3.49721e+08
4.46059e+08,4.07357e+08,8.46253e+08,5.82851e+08,5.85765e+08,4.18492e+08,3.19281e+08,2.52147e+08,5.28109e+08,3.57134e+08
3.1571e+08,2.94488e+08,5.32902e+08,3.85038e+08,4.2223e+08,3.02974e+08,2.26756e+08,1.82089e+08,3.79536e+08,2.61113e+08
4.10205e+08,3.7739e+08,7.54047e+08,5.20986e+08,5.42412e+08,3.87159e+08,2.9275e+08,2.33122e+08,4.85579e+08,3.26109e+08
4.85106e+08,4.40022e+08,9.5983e+08,6.42521e+08,6.3114e+08,4.5087e+08,3.46061e+08,2.71935e+08,5.64177e+08,3.82032e+08
3.33813e+08,3.10181e+08,5.75159e+08,4.07291e+08,4.46072e+08,3.19201e+08,2.38357e+08,1.91955e+08,3.99509e+08,2.69105e+08
3.68233e+08,3.40992e+08,6.49107e+08,4.5399e+08,4.95771e+08,3.61112e+08,2.62833e+08,2.10851e+08,4.38878e+08,2.9579e+08
3.76983e+08,3.48392e+08,6.67429e+08,4.63696e+08,5.06399e+08,3.60711e+08,2.69119e+08,2.16202e+08,4.48987e+08,3.02988e+08
3.98238e+08,3.66588e+08,7.21038e+08,5.01011e+08,5.31615e+08,3.77337e+08,2.838e+08,2.26834e+08,4.72585e+08,3.1751e+08
3.86315e+08,3.56812e+08,6.94187e+08,4.79952e+08,5.15427e+08,3.66918e+08,2.77226e+08,2.20714e+08,4.60297e+08,3.10911e+08
3.60464e+08,3.33576e+08,6.32148e+08,4.42173e+08,4.83047e+08,3.44595e+08,2.57331e+08,2.06436e+08,4.30221e+08,2.90785e+08
2.70685e+08,2.54655e+08,4.37782e+08,3.29563e+08,3.6724e+08,2.61588e+08,1.95828e+08,1.5702e+08,3.23873e+08,2.26326e+08
3.78792e+08,3.4998e+08,6.65247e+08,4.74166e+08,5.0545e+08,3.59828e+08,2.71687e+08,2.17577e+08,4.51319e+08,3.04096e+08
2.47591e+08,2.33665e+08,3.95263e+08,2.99704e+08,3.31271e+08,2.3956e+08,1.77018e+08,1.4384e+08,2.95648e+08,2.02705e+08
4.33662e+08,3.96406e+08,8.03325e+08,5.51627e+08,5.74047e+08,4.09355e+08,3.08902e+08,2.4557e+08,5.1085e+08,3.44884e+08
3.57049e+08,3.30598e+08,6.25963e+08,4.34945e+08,4.79973e+08,3.41737e+08,2.54879e+08,2.03616e+08,4.25343e+08,2.86462e+08
4.95228e+08,4.47329e+08,9.74324e+08,6.51195e+08,6.50263e+08,4.58416e+08,3.5201e+08,2.77593e+08,5.75749e+08,3.89642e+08
3.26827e+08,3.0427e+08,5.6021e+08,3.97631e+08,4.4046e+08,3.13736e+08,2.38604e+08,1.88906e+08,3.9162e+08,2.65519e+08
4.36951e+08,3.98865e+08,8.14827e+08,5.48017e+08,5.78467e+08,4.1026e+08,3.10681e+08,2.46813e+08,5.1291e+08,3.48942e+08
4.2342e+08,3.88033e+08,7.84205e+08,5.30348e+08,5.62082e+08,4.00156e+08,3.02356e+08,2.40227e+08,4.98138e+08,3.3773e+08
3.70812e+08,3.42828e+08,6.565e+08,4.59479e+08,4.96954e+08,3.55282e+08,2.6459e+08,2.15664e+08,4.42546e+08,3.00243e+08
4.46592e+08,4.07335e+08,8.43638e+08,5.69972e+08,5.88592e+08,4.19272e+08,3.17856e+08,2.55158e+08,5.23601e+08,3.56981e+08
3.11768e+08,2.91109e+08,5.26002e+08,3.81184e+08,4.1925e+08,3.00255e+08,2.22732e+08,1.80124e+08,3.73015e+08,2.53928e+08
4.51786e+08,4.12488e+08,8.667e+08,5.80009e+08,5.94284e+08,4.23302e+08,3.22104e+08,2.55139e+08,5.31336e+08,3.604e+08
4.11645e+08,3.7782e+08,7.4248e+08,5.10638e+08,5.45777e+08,3.8841e+08,2.9287e+08,2.338e+08,4.86971e+08,3.30955e+08
4.36167e+08,3.98009e+08,8.09302e+08,5.51023e+08,5.76353e+08,4.09097e+08,3.10573e+08,2.4712e+08,5.14817e+08,3.47429e+08
3.82938e+08,3.53987e+08,6.82178e+08,4.72442e+08,5.11609e+08,3.63997e+08,2.73093e+08,2.18919e+08,4.49558e+08,3.108e+08
3.65485e+08,3.38773e+08,6.36843e+08,4.47052e+08,4.89807e+08,3.48527e+08,2.61599e+08,2.09561e+08,4.31874e+08,2.9721e+08
3.95022e+08,3.63416e+08,7.14705e+08,4.84639e+08,5.25268e+08,3.75085e+08,2.81928e+08,2.24875e+08,4.6406e+08,3.16471e+08
3.69203e+08,3.4161e+08,6.36982e+08,4.53418e+08,4.94829e+08,3.52153e+08,2.63605e+08,2.11288e+08,4.33908e+08,2.99565e+08
2.81262e+08,2.64104e+08,4.60602e+08,3.43629e+08,3.78607e+08,2.71066e+08,2.01416e+08,1.63255e+08,3.33258e+08,2.39445e+08
3.85819e+08,3.5642e+08,6.96308e+08,4.78949e+08,5.1597e+08,3.67487e+08,2.7559e+08,2.21626e+08,4.51929e+08,3.1463e+08
3.12285e+08,2.91782e+08,5.30893e+08,3.81299e+08,4.21091e+08,3.00289e+08,2.26181e+08,1.80616e+08,3.69234e+08,2.59412e+08
