"416,437";"383,992";"784,356";"535,741";"504,647";"371,82";"297,582";"241,09";"482,283";"329,457"
"307,931";"288,035";"517,096";"407,931";"380,109";"281,573";"221,585";"179,755";"360,883";"249,454"
"324,382";"303,472";"546,62";"422,192";"406,866";"292,288";"236,45";"190,883";"380,81";"263,49"
"473,41";"434,486";"947,463";"655,213";"575,58";"423,725";"345,486";"273,016";"544,897";"371,643"
"329,22";"307,695";"560,022";"432,299";"407,716";"299,988";"236,611";"193,308";"384,379";"269,763"
"314,372";"294,119";"532,914";"418,891";"392,111";"288,268";"228,516";"182,998";"373,732";"258,441"
"284,495";"266,909";"459,66";"348,412";"350,734";"260,632";"205,647";"167,078";"331,998";"248,36"
"370,74";"345,234";"656,737";"535,585";"460,51";"335,38";"269,83";"217,843";"433,15";"300,226"
"346,163";"322,824";"586,778";"448,379";"429,842";"313,083";"249,752";"200,989";"405,436";"277,763"
"371,411";"346,27";"661,8";"600,581";"461,723";"331,183";"272,625";"217,941";"433,282";"298,863"
"338,083";"316,025";"583,804";"467,913";"424,172";"303,363";"243,421";"196,621";"396,062";"273,685"
"402,463";"373,091";"735,791";"546,694";"503,181";"356,118";"291,205";"233,96";"467,544";"323,913"
"446,455";"411,038";"853,061";"648,658";"550,828";"395,209";"323,239";"256,818";"516,011";"353,996"
"440,054";"405,281";"834,256";"642,182";"542,008";"390,511";"318,04";"255,064";"508,585";"348,629"
"473,052";"433,938";"965,738";"785,053";"577,751";"414,313";"345,749";"268,79";"546,744";"379,328"
"327,57";"306,515";"552,544";"472,21";"408,017";"292,866";"235,626";"193,471";"384,438";"265,14"
"336,543";"313,868";"568,821";"443,266";"414,252";"300,519";"246,168";"198,153";"396,99";"273,656"
"447,508";"412,749";"858,476";"648,656";"542,745";"396,094";"328,398";"256,676";"515,545";"354,633"
"337,192";"315,238";"567,027";"474,145";"419,414";"304,363";"247,443";"197,491";"396,314";"273,192"
"359,973";"335,554";"658,245";"497,855";"442,522";"319,658";"259,306";"210,001";"422,301";"287,808"
"376,989";"350,026";"659,033";"555,74";"463,029";"335,048";"271,866";"219,11";"440,434";"300,047"
"355,442";"331,282";"607,613";"560,095";"439,624";"319,417";"255,952";"207,23";"417,399";"284,812"
"351,149";"327,49";"610,616";"444,1";"436,092";"316,284";"257,161";"206,036";"412,826";"281,501"
"429,044";"395,884";"804,428";"558,326";"523,166";"384,641";"307,89";"246,346";"518,847";"343,282"
"390,482";"362,501";"734,778";"531,543";"480,384";"353,795";"282,055";"226,938";"456,871";"313,206"
